Date,GDP,LSTM Predictions
2015-12-01,0.7,0.70370907
2016-01-01,0.6,0.78943425
2016-02-01,0.5,0.4856698
2016-03-01,0.4,0.39788935
2016-04-01,0.4666666666666667,0.30082184
2016-05-01,0.5333333333333333,0.54326284
2016-06-01,0.6,0.60220003
2016-07-01,0.5333333333333333,0.6623992
2016-08-01,0.4666666666666667,0.45314732
2016-09-01,0.4,0.394203
2016-10-01,0.4666666666666667,0.33206782
2016-11-01,0.5333333333333333,0.5360877
2016-12-01,0.6,0.6024509
2017-01-01,0.6333333333333333,0.6645821
2017-02-01,0.6666666666666666,0.66528255
2017-03-01,0.7,0.688747
2017-04-01,0.6333333333333333,0.72187126
2017-05-01,0.5666666666666667,0.5551261
2017-06-01,0.5,0.49678755
2017-07-01,0.5,0.43275756
2017-08-01,0.5,0.50436765
2017-09-01,0.5,0.49263865
2017-10-01,0.5333333333333333,0.49059024
2017-11-01,0.5666666666666667,0.55802476
2017-12-01,0.6,0.6009457
2018-01-01,0.43333333333333335,0.6318123
2018-02-01,0.26666666666666666,0.26444957
2018-03-01,0.1,0.0983776
2018-04-01,0.23333333333333334,-0.06126092
2018-05-01,0.3666666666666667,0.3841903
2018-06-01,0.5,0.51182854
2018-07-01,0.5333333333333333,0.6338917
2018-08-01,0.5666666666666667,0.5629881
2018-09-01,0.6,0.60272133
2018-10-01,0.5,0.6272291
2018-11-01,0.4,0.39128432
2018-12-01,0.3,0.29709703
2019-01-01,0.39999999999999997,0.20537834
2019-02-01,0.5,0.52533543
2019-03-01,0.6,0.6108482
2019-04-01,0.43333333333333335,0.6923541
2019-05-01,0.26666666666666666,0.26061228
2019-06-01,0.1,0.100927554
2019-07-01,0.26666666666666666,-0.06087635
2019-08-01,0.43333333333333335,0.4523911
2019-09-01,0.6,0.6005098
2019-10-01,0.4,0.76038724
2019-11-01,0.2,0.19700013
2019-12-01,0.0,0.00493264
