,variables,hyperparameters,performance
0,"['FTSE250', 'CLAIMS_RATE', 'UNEMP_RATE']","{'n_models': 1, 'n_timesteps': 6, 'train_episodes': 200, 'batch_size': 30, 'decay': 0.98, 'n_hidden': 20, 'n_layers': 2, 'dropout': 0, 'criterion': '', 'optimizer': '', 'optimizer_parameters': {'lr': 0.01}}",0.024984196464622122
1,"['RPI_HOUSE', 'RPI_GOOD', 'FTSE_ALL']","{'n_models': 1, 'n_timesteps': 6, 'train_episodes': 100, 'batch_size': 30, 'decay': 0.98, 'n_hidden': 20, 'n_layers': 2, 'dropout': 0, 'criterion': '', 'optimizer': '', 'optimizer_parameters': {'lr': 0.01}}",0.026155331605460925
2,"['CPI_CLOTH', 'CPI_TRANS', 'CPI_EX_ENER', 'RPI_SERV', 'SP500']","{'n_models': 1, 'n_timesteps': 12, 'train_episodes': 200, 'batch_size': 30, 'decay': 0.98, 'n_hidden': 20, 'n_layers': 2, 'dropout': 0, 'criterion': '', 'optimizer': '', 'optimizer_parameters': {'lr': 0.01}}",0.04142696332469861
3,"['M4', 'RPI_ALL', 'FTSE_ALL', 'GBP_US', 'GBP_CAN', 'LIBOR_3mth', 'M2']","{'n_models': 1, 'n_timesteps': 6, 'train_episodes': 200, 'batch_size': 30, 'decay': 0.98, 'n_hidden': 10, 'n_layers': 2, 'dropout': 0, 'criterion': '', 'optimizer': '', 'optimizer_parameters': {'lr': 0.01}}",0.058643568002995757
4,"['EMP_RATE', 'CPI_GOOD', 'EMP', 'CPI_DUR', 'FTSE250']","{'n_models': 1, 'n_timesteps': 6, 'train_episodes': 100, 'batch_size': 30, 'decay': 0.98, 'n_hidden': 10, 'n_layers': 2, 'dropout': 0, 'criterion': '', 'optimizer': '', 'optimizer_parameters': {'lr': 0.01}}",0.06851659073395784
5,"['FTSE250', 'PPI_MANU', 'RPI_GOOD', 'EMP', 'IOP_PROD']","{'n_models': 1, 'n_timesteps': 12, 'train_episodes': 100, 'batch_size': 30, 'decay': 0.98, 'n_hidden': 20, 'n_layers': 2, 'dropout': 0, 'criterion': '', 'optimizer': '', 'optimizer_parameters': {'lr': 0.01}}",0.07246860869245102
6,"['OIL_PRICE', 'RPI_GOOD', 'CPI_EX_ENER']","{'n_models': 1, 'n_timesteps': 12, 'train_episodes': 200, 'batch_size': 30, 'decay': 0.98, 'n_hidden': 10, 'n_layers': 2, 'dropout': 0, 'criterion': '', 'optimizer': '', 'optimizer_parameters': {'lr': 0.01}}",0.09095280352535276
7,"['EMP_ACT', 'M1']","{'n_models': 1, 'n_timesteps': 12, 'train_episodes': 100, 'batch_size': 30, 'decay': 0.98, 'n_hidden': 10, 'n_layers': 2, 'dropout': 0, 'criterion': '', 'optimizer': '', 'optimizer_parameters': {'lr': 0.01}}",0.09788513090562394
