"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1979-Q1","Q1-1979","GBP","Pound Sterling","0","Units",,,2297986830.47129,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1979-Q2","Q2-1979","GBP","Pound Sterling","0","Units",,,2390177638.17312,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1979-Q3","Q3-1979","GBP","Pound Sterling","0","Units",,,2495195066.92417,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1979-Q4","Q4-1979","GBP","Pound Sterling","0","Units",,,2609842779.60948,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1980-Q1","Q1-1980","GBP","Pound Sterling","0","Units",,,2741722465.89858,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1980-Q2","Q2-1980","GBP","Pound Sterling","0","Units",,,2852731698.00084,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1980-Q3","Q3-1980","GBP","Pound Sterling","0","Units",,,2951542089.42151,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1980-Q4","Q4-1980","GBP","Pound Sterling","0","Units",,,3038906516.64774,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1981-Q1","Q1-1981","GBP","Pound Sterling","0","Units",,,3100696554.47158,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1981-Q2","Q2-1981","GBP","Pound Sterling","0","Units",,,3196769479.94031,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1981-Q3","Q3-1981","GBP","Pound Sterling","0","Units",,,3316049687.02893,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1981-Q4","Q4-1981","GBP","Pound Sterling","0","Units",,,3460394081.77535,,
