"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1982-Q1","Q1-1982","GBP","Pound Sterling","0","Units",,,3670301488.46812,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1982-Q2","Q2-1982","GBP","Pound Sterling","0","Units",,,3810836309.1399,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1982-Q3","Q3-1982","GBP","Pound Sterling","0","Units",,,3903032759.14079,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1982-Q4","Q4-1982","GBP","Pound Sterling","0","Units",,,3921721041.68433,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1983-Q1","Q1-1983","GBP","Pound Sterling","0","Units",,,3815225294.99112,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1983-Q2","Q2-1983","GBP","Pound Sterling","0","Units",,,3698356742.67775,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1983-Q3","Q3-1983","GBP","Pound Sterling","0","Units",,,3568332560.27442,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1983-Q4","Q4-1983","GBP","Pound Sterling","0","Units",,,3477944729.21184,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1984-Q1","Q1-1984","GBP","Pound Sterling","0","Units",,,3440480286.98495,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1984-Q2","Q2-1984","GBP","Pound Sterling","0","Units",,,3532090376.99694,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1984-Q3","Q3-1984","GBP","Pound Sterling","0","Units",,,3706248784.31574,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1984-Q4","Q4-1984","GBP","Pound Sterling","0","Units",,,3917729990.55969,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1985-Q1","Q1-1985","GBP","Pound Sterling","0","Units",,,4204425508.22259,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1985-Q2","Q2-1985","GBP","Pound Sterling","0","Units",,,4325635364.36818,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1985-Q3","Q3-1985","GBP","Pound Sterling","0","Units",,,4352322964.50786,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1985-Q4","Q4-1985","GBP","Pound Sterling","0","Units",,,4291645948.83802,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1986-Q1","Q1-1986","GBP","Pound Sterling","0","Units",,,4093849112.95083,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1986-Q2","Q2-1986","GBP","Pound Sterling","0","Units",,,3969848542.802,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1986-Q3","Q3-1986","GBP","Pound Sterling","0","Units",,,3875445901.45673,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1986-Q4","Q4-1986","GBP","Pound Sterling","0","Units",,,3831489456.11806,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1987-Q1","Q1-1987","GBP","Pound Sterling","0","Units",,,3852746627.06258,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1987-Q2","Q2-1987","GBP","Pound Sterling","0","Units",,,3896468997.04112,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1987-Q3","Q3-1987","GBP","Pound Sterling","0","Units",,,3961732842.53549,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1987-Q4","Q4-1987","GBP","Pound Sterling","0","Units",,,4041339490.83733,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1988-Q1","Q1-1988","GBP","Pound Sterling","0","Units",,,4130655083.1381,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1988-Q2","Q2-1988","GBP","Pound Sterling","0","Units",,,4258279212.70292,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1988-Q3","Q3-1988","GBP","Pound Sterling","0","Units",,,4421386594.83897,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1988-Q4","Q4-1988","GBP","Pound Sterling","0","Units",,,4611367149.24649,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1989-Q1","Q1-1989","GBP","Pound Sterling","0","Units",,,4879830492.94765,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1989-Q2","Q2-1989","GBP","Pound Sterling","0","Units",,,5028677338.84456,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1989-Q3","Q3-1989","GBP","Pound Sterling","0","Units",,,5096456809.59496,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1989-Q4","Q4-1989","GBP","Pound Sterling","0","Units",,,5058411441.09749,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1990-Q1","Q1-1990","GBP","Pound Sterling","0","Units",,,4859201309.35061,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1990-Q2","Q2-1990","GBP","Pound Sterling","0","Units",,,4641837037.44629,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1990-Q3","Q3-1990","GBP","Pound Sterling","0","Units",,,4396543522.17379,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1990-Q4","Q4-1990","GBP","Pound Sterling","0","Units",,,4172298144.36127,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1991-Q1","Q1-1991","GBP","Pound Sterling","0","Units",,,3979220832.18967,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1991-Q2","Q2-1991","GBP","Pound Sterling","0","Units",,,3875406185.41626,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1991-Q3","Q3-1991","GBP","Pound Sterling","0","Units",,,3821772446.36926,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1991-Q4","Q4-1991","GBP","Pound Sterling","0","Units",,,3788482618.5008,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1992-Q1","Q1-1992","GBP","Pound Sterling","0","Units",,,3778817744.8142,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1992-Q2","Q2-1992","GBP","Pound Sterling","0","Units",,,3707688584.83352,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1992-Q3","Q3-1992","GBP","Pound Sterling","0","Units",,,3609863833.45559,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1992-Q4","Q4-1992","GBP","Pound Sterling","0","Units",,,3503236785.06254,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1993-Q1","Q1-1993","GBP","Pound Sterling","0","Units",,,3373415461.14761,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1993-Q2","Q2-1993","GBP","Pound Sterling","0","Units",,,3322291168.91894,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1993-Q3","Q3-1993","GBP","Pound Sterling","0","Units",,,3319279980.31843,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1993-Q4","Q4-1993","GBP","Pound Sterling","0","Units",,,3358559105.06578,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1994-Q1","Q1-1994","GBP","Pound Sterling","0","Units",,,3460554552.49197,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1994-Q2","Q2-1994","GBP","Pound Sterling","0","Units",,,3529087653.81189,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1994-Q3","Q3-1994","GBP","Pound Sterling","0","Units",,,3586135340.20918,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1994-Q4","Q4-1994","GBP","Pound Sterling","0","Units",,,3626353191.54566,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1995-Q1","Q1-1995","GBP","Pound Sterling","0","Units",,,4023645930.50064,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1995-Q2","Q2-1995","GBP","Pound Sterling","0","Units",,,3866427543.0358,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1995-Q3","Q3-1995","GBP","Pound Sterling","0","Units",,,3999774192.0877,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1995-Q4","Q4-1995","GBP","Pound Sterling","0","Units",,,2890152331.74417,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1996-Q1","Q1-1996","GBP","Pound Sterling","0","Units",,,5784303918.93755,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1996-Q2","Q2-1996","GBP","Pound Sterling","0","Units",,,3403073199.27719,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1996-Q3","Q3-1996","GBP","Pound Sterling","0","Units",,,3598593880.4879,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1996-Q4","Q4-1996","GBP","Pound Sterling","0","Units",,,3298029001.29736,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1997-Q1","Q1-1997","GBP","Pound Sterling","0","Units",,,3594365532.19165,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1997-Q2","Q2-1997","GBP","Pound Sterling","0","Units",,,3501065997.24562,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1997-Q3","Q3-1997","GBP","Pound Sterling","0","Units",,,3303658431.19354,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1997-Q4","Q4-1997","GBP","Pound Sterling","0","Units",,,3564910039.36919,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1998-Q1","Q1-1998","GBP","Pound Sterling","0","Units",,,3469599848.91293,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1998-Q2","Q2-1998","GBP","Pound Sterling","0","Units",,,3772745149.83886,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1998-Q3","Q3-1998","GBP","Pound Sterling","0","Units",,,3590777483.45792,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1998-Q4","Q4-1998","GBP","Pound Sterling","0","Units",,,3730877517.79028,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1999-Q1","Q1-1999","GBP","Pound Sterling","0","Units",,,3371564689.32904,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1999-Q2","Q2-1999","GBP","Pound Sterling","0","Units",,,3070322337.23815,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1999-Q3","Q3-1999","GBP","Pound Sterling","0","Units",,,2749591819.38394,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","1999-Q4","Q4-1999","GBP","Pound Sterling","0","Units",,,3376521154.04888,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2000-Q1","Q1-2000","GBP","Pound Sterling","0","Units",,,1587672674.42537,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2000-Q2","Q2-2000","GBP","Pound Sterling","0","Units",,,3535431159.52108,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2000-Q3","Q3-2000","GBP","Pound Sterling","0","Units",,,4243744087.44757,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2000-Q4","Q4-2000","GBP","Pound Sterling","0","Units",,,4137152078.60598,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2001-Q1","Q1-2001","GBP","Pound Sterling","0","Units",,,3964905807.165,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2001-Q2","Q2-2001","GBP","Pound Sterling","0","Units",,,3589994394.95673,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2001-Q3","Q3-2001","GBP","Pound Sterling","0","Units",,,3290207930.78969,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2001-Q4","Q4-2001","GBP","Pound Sterling","0","Units",,,2690891867.08857,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2002-Q1","Q1-2002","GBP","Pound Sterling","0","Units",,,2731805890.81221,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2002-Q2","Q2-2002","GBP","Pound Sterling","0","Units",,,2974999306.77296,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2002-Q3","Q3-2002","GBP","Pound Sterling","0","Units",,,2913175026.84885,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2002-Q4","Q4-2002","GBP","Pound Sterling","0","Units",,,3100019775.56597,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2003-Q1","Q1-2003","GBP","Pound Sterling","0","Units",,,3058519510.60502,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2003-Q2","Q2-2003","GBP","Pound Sterling","0","Units",,,2871365385.80433,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2003-Q3","Q3-2003","GBP","Pound Sterling","0","Units",,,2673510807.31912,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2003-Q4","Q4-2003","GBP","Pound Sterling","0","Units",,,2964604296.27153,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2004-Q1","Q1-2004","GBP","Pound Sterling","0","Units",,,3277724341.43814,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2004-Q2","Q2-2004","GBP","Pound Sterling","0","Units",,,3026271045.0327,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2004-Q3","Q3-2004","GBP","Pound Sterling","0","Units",,,3163192724.42525,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2004-Q4","Q4-2004","GBP","Pound Sterling","0","Units",,,3004811889.10391,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2005-Q1","Q1-2005","GBP","Pound Sterling","0","Units",,,2790533989.63775,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2005-Q2","Q2-2005","GBP","Pound Sterling","0","Units",,,3226513383.92581,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2005-Q3","Q3-2005","GBP","Pound Sterling","0","Units",,,3297224967.97232,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2005-Q4","Q4-2005","GBP","Pound Sterling","0","Units",,,3213727658.46412,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2006-Q1","Q1-2006","GBP","Pound Sterling","0","Units",,,3406429249.34758,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2006-Q2","Q2-2006","GBP","Pound Sterling","0","Units",,,3857634474.52384,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2006-Q3","Q3-2006","GBP","Pound Sterling","0","Units",,,3964464639.91217,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2006-Q4","Q4-2006","GBP","Pound Sterling","0","Units",,,3667471636.21642,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2007-Q1","Q1-2007","GBP","Pound Sterling","0","Units",,,4381044607.53461,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2007-Q2","Q2-2007","GBP","Pound Sterling","0","Units",,,5064698779.11025,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2007-Q3","Q3-2007","GBP","Pound Sterling","0","Units",,,5389443123.47491,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2007-Q4","Q4-2007","GBP","Pound Sterling","0","Units",,,6824813489.88023,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2008-Q1","Q1-2008","GBP","Pound Sterling","0","Units",,,7617192745.32562,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2008-Q2","Q2-2008","GBP","Pound Sterling","0","Units",,,6316239035.31265,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2008-Q3","Q3-2008","GBP","Pound Sterling","0","Units",,,7575063015.79452,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2008-Q4","Q4-2008","GBP","Pound Sterling","0","Units",,,7979505203.5672,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2009-Q1","Q1-2009","GBP","Pound Sterling","0","Units",,,6990596704.66399,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2009-Q2","Q2-2009","GBP","Pound Sterling","0","Units",,,7059494030.5169,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2009-Q3","Q3-2009","GBP","Pound Sterling","0","Units",,,3644629209.44793,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2009-Q4","Q4-2009","GBP","Pound Sterling","0","Units",,,4273280055.37118,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2010-Q1","Q1-2010","GBP","Pound Sterling","0","Units",,,4426563931.38278,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2010-Q2","Q2-2010","GBP","Pound Sterling","0","Units",,,4311113088.06304,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2010-Q3","Q3-2010","GBP","Pound Sterling","0","Units",,,5525794545.49114,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2010-Q4","Q4-2010","GBP","Pound Sterling","0","Units",,,5304528435.06304,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2011-Q1","Q1-2011","GBP","Pound Sterling","0","Units",,,4817704033.17894,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2011-Q2","Q2-2011","GBP","Pound Sterling","0","Units",,,5614125900.24344,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2011-Q3","Q3-2011","GBP","Pound Sterling","0","Units",,,5550991697.87198,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2011-Q4","Q4-2011","GBP","Pound Sterling","0","Units",,,5345178368.70563,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2012-Q1","Q1-2012","GBP","Pound Sterling","0","Units",,,5015451462.56179,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2012-Q2","Q2-2012","GBP","Pound Sterling","0","Units",,,5371688652.99909,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2012-Q3","Q3-2012","GBP","Pound Sterling","0","Units",,,5118560707.23544,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2012-Q4","Q4-2012","GBP","Pound Sterling","0","Units",,,5118299177.20368,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2013-Q1","Q1-2013","GBP","Pound Sterling","0","Units",,,5632616865.35916,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2013-Q2","Q2-2013","GBP","Pound Sterling","0","Units",,,5304893300.73758,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2013-Q3","Q3-2013","GBP","Pound Sterling","0","Units",,,5046521799.89677,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2013-Q4","Q4-2013","GBP","Pound Sterling","0","Units",,,5091968034.00649,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2014-Q1","Q1-2014","GBP","Pound Sterling","0","Units",,,4493303826.51911,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2014-Q2","Q2-2014","GBP","Pound Sterling","0","Units",,,5312089287.76436,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2014-Q3","Q3-2014","GBP","Pound Sterling","0","Units",,,5349168600.37785,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2014-Q4","Q4-2014","GBP","Pound Sterling","0","Units",,,5425438285.33868,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2015-Q1","Q1-2015","GBP","Pound Sterling","0","Units",,,5590666415.43935,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2015-Q2","Q2-2015","GBP","Pound Sterling","0","Units",,,5283307352.64804,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2015-Q3","Q3-2015","GBP","Pound Sterling","0","Units",,,5472529833.08705,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2015-Q4","Q4-2015","GBP","Pound Sterling","0","Units",,,5317496398.82556,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2016-Q1","Q1-2016","GBP","Pound Sterling","0","Units",,,5216173637.43183,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2016-Q2","Q2-2016","GBP","Pound Sterling","0","Units",,,4873212196.68784,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2016-Q3","Q3-2016","GBP","Pound Sterling","0","Units",,,4970978160.99012,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2016-Q4","Q4-2016","GBP","Pound Sterling","0","Units",,,5091636004.89022,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2017-Q1","Q1-2017","GBP","Pound Sterling","0","Units",,,5064821100.25987,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2017-Q2","Q2-2017","GBP","Pound Sterling","0","Units",,,5570807516.50264,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2017-Q3","Q3-2017","GBP","Pound Sterling","0","Units",,,5320003439.68284,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2017-Q4","Q4-2017","GBP","Pound Sterling","0","Units",,,5396367943.55465,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2018-Q1","Q1-2018","GBP","Pound Sterling","0","Units",,,5621456287.78188,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2018-Q2","Q2-2018","GBP","Pound Sterling","0","Units",,,5810750372.84805,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2018-Q3","Q3-2018","GBP","Pound Sterling","0","Units",,,5796836853.845,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2018-Q4","Q4-2018","GBP","Pound Sterling","0","Units",,,5950956485.52506,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2019-Q1","Q1-2019","GBP","Pound Sterling","0","Units",,,6377494419.45253,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2019-Q2","Q2-2019","GBP","Pound Sterling","0","Units",,,5831566151.33307,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2019-Q3","Q3-2019","GBP","Pound Sterling","0","Units",,,5973252068.79781,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2019-Q4","Q4-2019","GBP","Pound Sterling","0","Units",,,5669687360.4166,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2020-Q1","Q1-2020","GBP","Pound Sterling","0","Units",,,6198401001.36857,,
"GBR","United Kingdom","GGINTR","Gross general government interest receipts","Q","Quarterly","2020-Q2","Q2-2020","GBP","Pound Sterling","0","Units",,,5521798775.45708,,
"GBR","United Kingdom","YRG","Current receipts of general government","Q","Quarterly","1979-Q1","Q1-1979","GBP","Pound Sterling","0","Units",,,72429119030.7833,,
"GBR","United Kingdom","YRG","Current receipts of general government","Q","Quarterly","1979-Q2","Q2-1979","GBP","Pound Sterling","0","Units",,,76563862188.6612,,
"GBR","United Kingdom","YRG","Current receipts of general government","Q","Quarterly","1979-Q3","Q3-1979","GBP","Pound Sterling","0","Units",,,81367580689.0373,,
"GBR","United Kingdom","YRG","Current receipts of general government","Q","Quarterly","1979-Q4","Q4-1979","GBP","Pound Sterling","0","Units",,,86523657967.0267,,
