Date,EMP,EMP_PART,EMP_TEMP,UNEMP_RATE,UNEMP_DURA_6mth,UNEMP_DURA_6.12mth,UNEMP_DURA_12mth.,UNEMP_DURA_24mth.,EMP_RATE,EMP_ACT,EMP_ACT_RATE,CLAIMS,CLAIMS_RATE,TOT_WEEK_HRS,AVG_WEEK_HRS,AVG_WEEK_HRS_FULL,AWE_ALL,AWE_CONS,AWE_MANU,AWE_PRIV,AWE_PUB,AWE_SERV,VAC_TOT,VAC_CONS,VAC_MANU,IOP_PROD,IOP_CAP_GOOD,IOP_DUR,IOP_ENER,IOP_GOOD,IOP_INT_GOOD,IOP_MACH,IOP_MANU,IOP_MINE,IOP_NON_DUR,IOP_PETRO,IOP_OIL_EXTRACT,IOS,IOS_45,IOS_46,IOS_47,IOS_G,IOS_EDUC,IOS_PNDS,RSI,CAR_REGIS,RETAIL_TRADE_INDEX,AVG_WEEK_RETAIL_SALE,AVG_WEEK_RETAIL_SALE_NON_FOOD,CPIH_ALL,CPI_ALL,CPI_EX_ENER,CPI_GOOD,CPI_DUR,CPI_NON_DUR,CPI_SERV,CPI_CLOTH,CPI_TRANS,RPI_ALL,RPI_GOOD,RPI_SERV,RPI_HOUSE,EXP_TOT,EXP_GOOD,IMP_ALL,IMP_GOOD,EXP_FUEL,IMP_FUEL,EXP_OIL,IMP_OIL,EXP_MACH,IMP_MACH,EXP_METAL,IMP_METAL,EXP_CRUDE_MAT,IMP_CRUDE_MAT,GBP_BROAD,GBP_CAN,GBP_EUR,GBP_JAP,GBP_US,OIL_PRICE,BANK_RATE,CONS_CREDIT_ex_student_loan,TOT_LENDING_APP,TOT_HOUSE_APP,MORT_FIXED_RATE_5YRS,MORT_FIXED_RATE_2YRS,M1,M2,M3,M4,LIBOR_3mth,BGS_5yrs_yld,BGS_10yrs_yld,BGS_20yrs_yld,FTSE_ALL,FTSE250,VIX,SP500,UK_focused_equity,EUR_UNC_INDEX,BCI,CCI,CLI,PPI_MANU,PPI_MACH,PPI_OIL,PPI_METAL,PPI_MOTOR,UK_GDP_4,,,,,
01/01/1991,-0.002626643,NA,NA,0.2,NA,NA,NA,NA,-0.2,-0.000528793,-0.1,0.013234538,0.2,-0.004283627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.002652521,NA,NA,NA,NA,NA,0.007692346,0.001588563,-0.006711435,NA,0.076618047,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016540694,-0.013632149,NA,NA,0.003913641,0.002888845,0.004267472,0.002493109,-0.004947773,0.007280389,0.008097326,0.000673795,4.58107E-05,0.005634524,0.003636946,0.008323218,0.008914836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00923827,0.001163155,NA,0.00460887,0.004714424,-0.182104699,0,NA,NA,NA,NA,NA,0.000975889,0.002937108,0.006198762,0.006841918,0.1393,NA,NA,NA,0.003857882,-0.014732395,20.91,0.040679026,NA,-13.46692,-0.57619,-0.06576,-0.01235,0.006887956,NA,NA,NA,NA,#N/A,,,,,
01/02/1991,-0.003198798,NA,NA,0.2,NA,NA,NA,NA,-0.2,-0.000634921,0,0.046877058,0.3,-0.004302056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,-0.023256862,-0.020850795,0.098942659,NA,-0.026946437,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.113520091,-0.007874056,NA,NA,0.00272641,0.003657255,0.004439871,0.003809706,0.004821868,0.007564435,0.004803813,0.000220172,0.001255658,0.003575498,0.004151018,0.006027023,0.007305567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001539199,0.014470491,NA,-0.008880077,0.015742704,-0.187561354,-0.35,NA,NA,NA,NA,NA,0.000633257,0.0032546,0.00059895,0.004721868,-0.7132,NA,NA,NA,0.104171879,0.135324912,21.23,0.065114457,NA,14.40241,-0.52109,0.2225,0.14244,0.001809987,NA,NA,NA,NA,#N/A,,,,,
01/03/1991,-0.00302001,NA,NA,0.2,NA,NA,NA,NA,-0.2,-0.000247022,-0.1,0.058772016,0.4,-0.004320643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010681009,NA,NA,NA,NA,NA,0.006514681,-0.004874096,0.031685159,NA,-0.003530454,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134488056,0.033044795,NA,NA,0.004362342,0.002946219,0.004085832,0.000764823,0.000270836,0.004051171,0.00451423,0.001003965,0.001034926,0.003142829,0.003039581,0.006512956,0.008070446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.016883843,-0.071365935,NA,-0.022746992,-0.073345099,-0.023487233,-0.775,NA,NA,NA,NA,NA,0.0027637,0.004492351,0.006350283,0.002976547,-0.8344,NA,NA,NA,0.036977035,0.04479277,16.879999,0.021959939,NA,7.34159,0.0163,0.57978,0.26989,0.002778262,NA,NA,NA,NA,-0.607684859,,,,,
01/04/1991,-0.003218785,NA,NA,0.3,NA,NA,NA,NA,-0.3,-0.000564852,0,0.030311091,0.2,-0.004339392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013513719,NA,NA,NA,NA,NA,-0.03434948,-0.006535971,-0.125776156,NA,-0.011560822,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.161653095,-0.023211874,NA,NA,0.015319174,0.02604717,0.02403957,0.019635848,0.007750222,0.022958532,0.032684418,0.001594274,0.024112114,0.003297906,0.024912516,0.022967178,-0.09680745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007106335,-0.04595449,NA,-0.044575119,-0.0426715,0.005096385,-0.6845,NA,NA,NA,NA,NA,0.002728225,0.003751002,0.004995957,0.008678254,-0.4691,NA,NA,NA,0.00786292,-0.003697288,18.24,0.000319748,NA,-6.82514,0.23594,0.37956,0.30046,0.009836503,NA,NA,NA,NA,#N/A,,,,,
01/05/1991,-0.003419456,NA,NA,0.2,NA,NA,NA,NA,-0.2,-0.00155499,-0.1,0.02864893,0.2,-0.004588216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012170536,NA,NA,NA,NA,NA,0.005361943,0.004905979,0.028263948,NA,-0.017140699,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007106228,-0.005888143,NA,NA,0.005885757,0.00478745,0.004454612,0.00482528,0.008446655,0.008824018,0.007945246,0.00093849,0.010968157,0.002487988,0.00376047,0.007881792,-0.007782732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00663187,-0.017243961,NA,-0.005735798,-0.014387081,0.000355516,-0.3095,NA,NA,NA,NA,NA,0.009747195,0.005917385,0.00278704,0.004127543,-0.4256,NA,NA,NA,-0.000748585,-0.01713676,15.93,0.037878442,NA,-3.71921,0.04945,0.07878,0.29424,0.004422447,NA,NA,NA,NA,#N/A,,,,,
01/06/1991,-0.003240258,NA,NA,0.1,NA,NA,NA,NA,-0.3,-0.001203242,-0.1,0.030712587,0.2,-0.004262925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002684565,NA,NA,NA,NA,NA,-0.021622464,-0.01148495,0.133938476,NA,-0.04942731,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.052879338,-0.003944778,NA,NA,0.006453219,0.006183939,0.005175494,0.005996545,0.005849947,0.007352939,0.004053876,0.000731335,0.004482387,0.006167652,0.004865832,0.006948566,-0.000913378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.017695805,-0.049821702,NA,-0.032974629,-0.044628306,-0.054589301,-0.381,NA,NA,NA,NA,NA,0.002881521,0.00177845,0.000731366,0.005178187,-0.2678,NA,NA,NA,-0.034416726,-0.034078133,19.549999,-0.049077466,NA,27.49576,0.24837,-0.08924,0.28296,0.001275948,NA,NA,NA,NA,-0.542649139,,,,,
01/07/1991,-0.003250792,NA,NA,0.2,NA,NA,NA,NA,-0.2,-0.001098337,-0.1,0.028858155,0.2,-0.004049291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008075414,NA,NA,NA,NA,NA,0,0,-0.020144566,NA,0.047605816,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079464171,0.019570096,NA,NA,0.002320455,0.004459798,0.003796495,0.004334415,0.005007122,0.006422215,0.005511261,-7.94835E-05,0.008598064,0.003186291,0.003329159,0.007934338,-0.006891571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002737637,0.004599654,NA,-0.013399854,0.00024241,0.065482069,-0.3043,NA,NA,NA,NA,NA,-0.003565931,-0.000386446,-5.26742E-05,0.001581054,-0.1687,NA,NA,NA,0.06234608,0.050812186,15.18,0.043882277,NA,-42.13263,0.40307,-0.02198,0.26942,0.003419184,NA,NA,NA,NA,#N/A,,,,,
01/08/1991,-0.003069252,NA,NA,0.2,NA,NA,NA,NA,-0.2,-0.001277003,-0.1,0.02113082,0.2,-0.003600259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010869672,NA,NA,NA,NA,NA,-0.004106782,-0.008285052,-0.02386124,NA,-0.011921278,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12801854,-0.015625318,NA,NA,0.008062898,0.004929796,0.004728561,0.004086614,0.005053505,0.006242027,0.007748703,0.000872055,0.003756139,0.001418763,0.002981958,0.006160721,-0.003691847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005233871,0.017101586,NA,0.012639561,0.020274207,0.019187363,-0.1957,NA,NA,NA,NA,NA,0.000546462,0.003807718,0.001907144,0.002882024,-0.1907,NA,NA,NA,0.026138321,0.039991928,14.46,0.019458239,NA,-0.44184,0.52667,0.34249,0.2389,0.001207811,NA,NA,NA,NA,#N/A,,,,,
01/09/1991,-0.002693345,NA,NA,0.1,NA,NA,NA,NA,-0.2,-0.001491901,-0.1,0.018068537,0.2,-0.003029599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001365188,NA,NA,NA,NA,NA,-0.026408762,0.003322262,0.013145112,NA,0.045974748,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.051543442,0,NA,NA,0.001963909,0.0016113,0.003201408,9.52838E-05,0.004775065,0.000383826,0.004505109,-0.000473295,0.002328054,0.002689695,0.002351804,0.00688504,0.00039423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004708749,0.016763042,NA,0.006279354,0.023937781,0.036213849,-0.4524,NA,NA,NA,NA,NA,0.012764801,0.004354421,0.002681944,0.006425751,-0.6049,NA,NA,NA,-0.002098995,0.009475131,15.85,-0.019329352,NA,-17.1796,0.57296,0.54218,0.1551,0.001676137,NA,NA,NA,NA,0.147138189,,,,,
01/10/1991,-0.002700619,NA,NA,0.1,NA,NA,NA,NA,-0.2,-0.00170776,-0.2,0.014352948,0.1,-0.003155867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012203541,NA,NA,NA,NA,NA,-0.001409444,0.004962789,0.025146393,NA,0.022649052,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.100685574,-0.005923018,NA,NA,0.00469906,0.003536494,0.004446578,0.00409054,0.005803428,0.003041732,0.0052628,-0.00032005,0.008442771,0.003661859,0.002805684,0.007817753,-0.005016775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.004494338,-0.009066524,NA,-0.029084417,-0.0013343,0.079849011,-0.0476,NA,NA,NA,NA,NA,-0.007437296,-0.002092357,7.34055E-05,0.00064392,0.1241,NA,NA,NA,-0.021824763,-0.025272631,15.48,0.01176476,NA,42.54206,0.30944,0.3186,0.0485,0.002073204,NA,NA,NA,NA,#N/A,,,,,
